Short name	Long name	Field type	Indexing and search	Show in concordancer	Show in snippet view	XPath
type	Type	g	f	y	n	/TEI/teiHeader/fileDesc/notesStmt/note[@type='oralEcrit']/text()
nomCorpus	Corpus	g	f	y	n	/TEI/teiHeader/encodingDesc/projectDesc/p/text()
langue	Langue	g	f	n	n	/TEI/teiHeader/profileDesc/langUsage/language/text()
nomFichier	Nom du fichier	g	i	n	n	/TEI/teiHeader/fileDesc/titleStmt/title/text()
responsables	Responsable(s)	gm	i	n	n	/TEI/teiHeader/fileDesc/titleStmt/respStmt/name[preceding::resp[1] = 'Responsables du corpus']/text()
resume	Résumé	g	s	n	n	/TEI/teiHeader/profileDesc/abstract/p/text()
dateEnregistrement	Date de l'enregistrement	g	i	n	n	/TEI/teiHeader/fileDesc/sourceDesc/recordingStmt/recording/date/text()
dureeEnregistrement	Durée de l'enregistrement	g	i	n	n	/TEI/teiHeader/fileDesc/sourceDesc/recordingStmt/recording/@dur
natureSignal	Nature du signal	g	f	n	n	/TEI/teiHeader/fileDesc/sourceDesc/recordingStmt/recording/@type
qualiteSon	Qualité du son	g	i	n	n	orfeo:/TEI/teiHeader/fileDesc/sourceDesc/recordingStmt/recording[@type='audio']/@ana
qualiteVideo	Qualité de la vidéo	g	i	n	n	orfeo:/TEI/teiHeader/fileDesc/sourceDesc/recordingStmt/recording[@type='video']/@ana
formatSignal	Format du signal	g	i	n	n	orfeo:/TEI/teiHeader/fileDesc/sourceDesc/recordingStmt/recording[@type='audio']/@ana
formatVideo	Format de la vidéo	g	i	n	n	orfeo:/TEI/teiHeader/fileDesc/sourceDesc/recordingStmt/recording[@type='video']/@ana
anonymisationSignal	Anonymisation du signal	g	i	n	n	orfeo:/TEI/teiHeader/fileDesc/sourceDesc/recordingStmt/recording/@ana
localisationEnregistrement	Localisation de l'enregistrement	g	i	n	n	/TEI/teiHeader/profileDesc/settingDesc/place/placeName/text()
nombreLocuteurs	Nombre de locuteurs	g	f	n	n	count(/TEI/teiHeader/profileDesc/particDesc/listPerson/person)
conditionsUtilisation	Conditions d'utilisation	g	i	n	n	/teiHeader/fileDesc/publicationStmt/text()
niveauxAnnotation	Niveaux d'annotation	gm	i	n	n	/TEI/teiHeader/encodingDesc/editorialDecl/interpretation/p/text()
formatTranscription	Format de la transcription	gm	i	n	n	concat(/TEI/teiHeader/fileDesc/notesStmt/relatedItem/ptr/@target,' (type ',/TEI/teiHeader/fileDesc/notesStmt/relatedItem/ptr/@type, ')')
anonymisationTranscription	Anonymisation de la transcription	g	i	n	n	/TEI/teiHeader/encodingDesc/editorialDecl/normalization/@ana
nombreMots	Nombre de mots	g	o	n	n	/TEI/teiHeader/fileDesc/extent/measure[@unit='words']
identifiant	Identiant du locuteur	s	i	n	n	/TEI/teiHeader/profileDesc/particDesc/listPerson/person/@xml:id
age	Âge du locuteur	s	i	n	n	/TEI/teiHeader/profileDesc/particDesc/listPerson/person/age/text()
sexe	Sexe du locuteur	s	i	n	n	/TEI/teiHeader/profileDesc/particDesc/listPerson/person/sex/text()
statutLangueFrancaise	Compétence du locuteur en langue française	s	i	n	n	/TEI/teiHeader/profileDesc/particDesc/listPerson/person/langKnowledge/langKnown[@tag='fr']/@level
profession	Profession du locuteur	s	i	n	n	/TEI/teiHeader/profileDesc/particDesc/listPerson/person/occupation/text()
niveauEtudes	Niveau d'études du locuteur	s	i	n	n	/TEI/teiHeader/profileDesc/particDesc/listPerson/person/education/text()
lieuNaissance	Lieu de naissance du locuteur	s	i	n	n	/TEI/teiHeader/profileDesc/particDesc/listPerson/person/birth/placeName/text()
nature	Nature	g	f	n	n	orfeo:/TEI/teiHeader/profileDesc/textClass/catRef/@target
categorie	Catégorie	g	f	n	n	orfeo:/TEI/teiHeader/profileDesc/textClass/catRef/@target
milieuProfessionnel	Milieu professionnel	g	f	n	n	orfeo:/TEI/teiHeader/profileDesc/textClass/catRef/@target
distance	Distance	g	f	n	n	orfeo:/TEI/teiHeader/profileDesc/textClass/catRef/@target
quality	Qualité d'annotation	g	i	n	n	n/a
annotator	Annotateur	g	i	n	n	n/a
url	Addresse d'échantillon	g	i	n	n	n/a
